,NAME,ADDRESS,OPEN_YEAR_ROUND,HANDICAP_ACCESSIBLE,LAT,LNG,LAT1,LNG1,indicator,pro,add,add1
617,Arrochar Playground,"Sand Lane, Major Avenue, McFarland Avenue",Yes,Yes,40.5976316,-74.0709523,NA,NA,1,NA,"Arrochar Playground, Sand Ln, Staten Island, NY 10305, USA",NA
618,Arrow Community Garden,"35th Street, between 35th and 36th Avenue",Yes,Not Available,NA,NA,NA,NA,,NA,"Community Ln, Midland, TX 79701, USA","Path Between Two Factories, Giza Governorate, Egypt"
619,Asser Levy,Asser Levy Place & East 24-25 streets,Yes,Not Available,NA,NA,NA,NA,,NA,NA,NA
620,Asser Levy Park,"Boardwalk, Surf, Sea Breeze avenues, Ocean Parkway",Yes,Not Available,NA,NA,NA,NA,,NA,NA,NA
621,Asser Levy Park (Performance Space),"Boardwalk, Surf, Sea Breeze avenues, Ocean Parkway",Yes,Not Available,NA,NA,NA,NA,,NA,NA,NA
622,Astoria Heights Playground,"30 Road, 45 to 46 streets",Yes,Not Available,40.7605192,-73.9115488,29.9421044,30.9277925,,1134.195482,"Astoria Heights Playground, 30th Rd, Astoria, NY 11103, USA","Street 46, Giza Governorate, Egypt"
623,Astoria Park (Charybdis Playground),Shore Boulevard opposite 23 Road,Yes,Not Available,46.1878841,-123.8312534,NA,NA,,NA,"Astoria, OR, USA",NA
624,Athens Sq (PS 17),"29 Street, 30 Street, 30 Avenue, Newtown Avenue",Yes,Yes,40.251325,-94.316791,47.5670519,-52.717763,,304.3271282,"N 17th St, Albany, MO 64402, USA","30 Newtown Rd, St. John's, NL A1C 4E1, Canada"
625,Aubondale Playground,"170-171 streets, 33-35 avenues",Yes,Not Available,40.7658583,-73.7942082,40.6788906,-90.4634925,1,1.449689316,"Auburndale Playground, Flushing, NY 11358, USA","170th St & 35th Ave, Avon, IL 61415, USA"
626,Audubon Playground,West 170 Street & Audubon Avenue,Yes,Not Available,NA,NA,NA,NA,,NA,"Audubon Park, 2909 W Northwest Blvd, Spokane, WA 99205, USA","W 170th St, Eagleville, MO 64442, USA"
627,Augustus St. Gaudens,"East 19 to East 20 streets, 2 Avenue",Yes,Not Available,NA,NA,NA,NA,,NA,"Augustus St. Gaudens Playground, 2nd Ave, New York, NY 10003, USA","20 W 2nd Ave, Kennewick, WA 99336, USA"
628,Bailey Playground,"Bailey Avenue, Weast 233-West 238 streets",Yes,Not Available,NA,NA,NA,NA,,NA,"Bailey Playground, Major Deegan Expy, Bronx, NY 10463, USA",NA
629,Baisley Pond Park,"Rockaway Boulevard, 125th Avenue, & Baisley Boulevard South",Yes,Not Available,NA,NA,NA,NA,,NA,NA,NA
630,Baisley Pond Park,"150th Street, Rockaway Boulevard, Baisley Boulevard South, & North Conduit Avenue",Yes,Not Available,40.6755827,-73.7852922,NA,NA,,NA,"Baisley Pond Park, Baisley Blvd, Jamaica, NY 11434, USA",NA
631,Baisley Pond Park (157th Street Playground),157 Street & 116 Avenue,Yes,Not Available,NA,NA,45.1064033,-96.7980804,,NA,NA,"157th St, South Dakota, USA"
632,Bartlett Playground,Bartlett Street & Throop Avenue,Yes,Not Available,40.7008946,-73.9460852,37.7524731,-122.4195908,1,142.9203261,"Bartlett Playground, Whipple St, Brooklyn, NY 11206, USA","Bartlett St, San Francisco, CA 94110, USA"
633,Battery Park (Battery Gardens),"Battery Place, State & Whitehall streets",Yes,Not Available,36.9973043,-76.5733626,40.7035905,-74.0144071,,9.484221456,"Battery St, Smithfield, VA 23430, USA","State St, New York, NY 10004, USA"
634,Battery Park Comfort Station,"Battery Place, State & Whitehall streets",Yes,Not Available,NA,NA,40.7035905,-74.0144071,2,NA,NA,"State St, New York, NY 10004, USA"
635,Bay Terrace Playground (PS 169),23 Avenue & 212 Street,Yes,Not Available,51.0454027,-113.3788649,48.0054429,-97.8551628,,47.19143033,"169 Park Ln Dr, Strathmore, AB T1P 1V8, Canada","23rd Ave, Niagara, ND 58266, USA"
636,Bayside Fields,"204 Street & 29 Avenue, Clearview Expressway",Yes,Yes,37.7247016,-75.7236849,44.4267369,-97.516649,,146.0572147,"Field Rd, Onancock, VA 23417, USA","204th St, South Dakota, USA"
637,Bayside Playground (JHS 180),Beach Channel Drive & Seaside Avenue,No,Not Available,40.7585569,-73.7654367,40.5897085,-73.8148117,1,0.00833689,NA,NA
638,Bayview Playground,Seaview Avenue & East 99 Street,Yes,Not Available,47.643773,-122.38695,40.635361,-73.8874068,,339.9047806,NA,"Seaview Ave, Brooklyn, NY, USA"
639,Bedford Playground,"Bedford Avenue & South 9 Street, Division Avenue",Yes,Not Available,40.708391,-73.9639214,40.6536822,-73.9561495,1,0.000425191,"Bedford Playground, 449 Bedford Ave, Brooklyn, NY 11211, USA","Bedford Ave, New York, NY, USA"
640,Behagen Playground,"Tinton Avenue, East 165 Street, Union Avenue, East 166 Street",Yes,Yes,40.8253722,-73.9012602,NA,NA,,NA,"Basil Behagen Playground, Tinton Ave, Bronx, NY 10456, USA",NA
641,Bellaire Playground,"89 Avenue, 207 & 208 streets",Yes,Not Available,40.7215183,-73.7578984,39.9770265,32.9143338,1,79.41660216,"Bellaire Playground, 208th St, Queens Village, NY 11427, USA","Do€Ùantepe, 1350. Sk., 06360 Alt€±nda€Ù/Ankara, Turkey"
642,Belmont Playground,"Crotona Avenue, East 181 Street",Yes,Yes,40.8502451,-73.8876637,18.0244065,-76.8091508,1,66.68539302,"Belmont Playground, E 181st St, Bronx, NY 10457, USA","Crotona Terrace, Kingston, Jamaica"
643,Bendheim Playground,100th Street and Fifth Ave,,Yes,40.7902926,-73.9544024,45.2163933,-92.3655994,1,81.48981193,"Robert Bendheim Playground, 1184 5th Ave, New York, NY 10029, USA","5th Ave & 100th St, Deer Park, WI 54007, USA"
644,Bennett Park,"West 185 Street, Ft Washington Avenue",Yes,Not Available,51.4656923,0.0122441,NA,NA,,NA,"Bennett Park, London SE3 9RA, UK",NA
645,Benson Playground,Bath Avenue between Bay 22 & Bay 23 streets,Yes,Not Available,NA,NA,NA,NA,,NA,NA,NA
646,Bensonhurst Park,"Gravesend Bay, 21 & Cropsey avenues, Bay Parkway",Yes,Not Available,NA,NA,NA,NA,,NA,NA,NA
647,Betsy Head Playground,"Livonia, Dumont, Hopkinson, Blake avenues, Strauss Street",Yes,Not Available,NA,NA,NA,NA,,NA,NA,"Livonia, MI, USA"
648,Betsy Head Playground (Administration Building),"Livonia, Dumont, Hopkinson, Blake avenues, Strauss Street",Yes,Not Available,NA,NA,42.36837,-83.3527097,,NA,NA,"Livonia, MI, USA"
649,Big Bush Park,"61 Street, north and south of Brooklyn-Queens Expressway",Yes,Not Available,40.7395042,-73.90273,40.7625982,-73.902486,1,5.63E-06,"Big Bush Park, Woodside, NY 11377, USA","61 Brooklyn Queens Expy W, Woodside, NY 11377, USA"
650,Bildersee Playground,Flatlands Avenue between East 81 & East 82 streets,Yes,Not Available,40.6356534,-73.9118244,NA,NA,1,NA,"Bildersee Playground, E 81st St, Brooklyn, NY 11236, USA",NA
651,Bill Brown Memorial Playground,"Bedford Avenue, Avenue X to Avenue Y, E 24 Street",Yes,Not Available,NA,NA,40.6536822,-73.9561495,,NA,NA,"Bedford Ave, New York, NY, USA"
652,Bleecker Playground,Hudson & West 11 streets,Yes,Not Available,40.7362218,-74.0055909,42.2528649,-73.790959,1,0.32551999,"Bleecker Playground, Hudson St, New York, NY 10014, USA","Hudson, NY, USA"
653,Blood Root Valley (Greenbelt Nature Center),"Rockland, Manor and Brielle avenues, Forest Hill Road",Yes,Yes,NA,NA,NA,NA,,NA,NA,"Rockland, ME, USA"
654,Blood Root Valley (Park House),"Rockland, Manor and Brielle avenues, Forest Hill Road",Yes,Yes,NA,NA,NA,NA,,NA,NA,NA
655,Bloomingdale Park,"Richmond Pkwy, Bloomingdale Rd., Lenevar Ave",,Yes,NA,NA,NA,NA,,NA,NA,NA
656,Bloomingdale Playground,"Amsterdam Avenue, West 104 & West 105 streets",Yes,Not Available,NA,NA,NA,NA,,NA,NA,NA
657,Blue Heron Park Preserve (Nature Center),Poillon Avenue,Yes,Yes,NA,NA,40.5291996,-74.1761352,2,NA,NA,"Poillon Ave, Staten Island, NY 10312, USA"
658,Bowne Park,"159 Street, 29 Avenue, 155 Street, 32 Avenue",Yes,Not Available,40.7705766,-73.807311,37.9411724,40.1982725,1,322.5678768,"Bowne Park, 29th Ave, Flushing, NY 11354, USA","Huzurevleri, 32. Sk., 21070 Kayap€±nar/Diyarbak€±r, Turkey"
659,Bowne Playground,Union Street and Sanford Avenue,Yes,Not Available,40.7579884,-73.8248135,40.7377518,-74.235895,1,0.008318892,"Bowne Playground, Flushing, NY 11355, USA","Sanford Ave, New Jersey, USA"
660,Breininger Park,Braddock Avenue & 240 Street,Yes,Not Available,40.7258447,-73.7290298,40.728006,-73.7341564,1,1.11E-05,"Breininger Park, Edmore Ave, Jamaica, NY 11426, USA","Braddock Ave, New York, NY, USA"
661,Breukelen Playground,Louisiana & Flatlands Avenue,Yes,Not Available,52.1710222,5.001329,30.9842977,-91.9623327,,2054.342387,"3621 Breukelen, Netherlands","Louisiana, USA"
662,Brevoort Playground,Ralph Avenue & Chauncy Street,Yes,Not Available,NA,NA,NA,NA,,NA,"Brevoort Playground, Ralph Ave, Brooklyn, NY 11233, USA","Ralph Ave, Brooklyn, NY, USA"
663,Bridge Park 2,Bridge & Prospect streets,Yes,Not Available,NA,NA,39.2187286,-79.9130054,,NA,"Bridge, Okara, Pakistan","Co Rte 2/2, Moatsville, WV 26405, USA"
664,Broadway Malls,"Broadway, Columbus Circle to West 110 Street",Yes,Not Available,47.9395617,-122.1994494,32.462865,-84.9930799,,575.8316961,"Broadway, Everett, WA, USA",NA
665,Bronx Park (Ben Abrams Playground),Lydig Avenue & Bronx Park East,Yes,Not Available,40.8370495,-73.8654295,40.8543818,-73.8610494,2,7.59E-05,NA,NA
666,Bronx Park (Brady Playground),Bronx Park East between Bronxdale Avenue and Unionport Road,Yes,Not Available,40.8370495,-73.8654295,40.8370495,-73.8654295,2,0,"Bronx County, NY, USA","Bronx County, NY, USA"
667,Bronx Park (French Charley's Playground),East 204 Street & W/S Bronx Park,Yes,Not Available,40.8370495,-73.8654295,40.8740125,-73.8833881,2,0.000663804,"Bronx County, NY, USA","E 204th St, New York, NY, USA"
668,Bronx Park (Olinville Playground),East 219 Street & Bronx River Parkway,Yes,Not Available,40.8609032,-73.8706083,38.7180672,-94.2559255,1,43.68239157,"Bronx Park E, Bronx, NY, USA","E 219th St, Pleasant Hill, MO 64080, USA"
669,Bronx Park (Ranaqua),"Southern Boulevard, Webster, Burke avenues, Bronx Park East, 180 Street",Yes,Not Available,40.8067116,-73.9222962,NA,NA,1,NA,"Ranaqua Park, E 136th St, Bronx, NY 10454, USA",NA
670,Bronx Park (River Park Playground),"East 180th Street, Boston Road",Yes,Yes,40.8370495,-73.8654295,NA,NA,1,NA,"Bronx County, NY, USA",NA
671,Bronx Park (Rosewood Playground),Bronx River Parkway & Rosewood Street,Yes,Not Available,40.8370495,-73.8654295,40.9476645,-73.8345485,2,0.003415902,"Bronx County, NY, USA","Bronx River Pkwy, New York, USA"
672,Bronx Park (Waring Playground),Bronx Park East between Waring Avenure and Thwaites Place,Yes,Not Available,40.8370495,-73.8654295,40.8370495,-73.8654295,2,0,"Bronx County, NY, USA","Bronx County, NY, USA"
673,Bronx River Parkway (Parque de los Ninos),"Bronx River Parkway, Bronx Park, Westchester/NYC City Line.",Yes,Yes,40.9476645,-73.8345485,40.864696,-73.871816,2,0.003092029,"Bronx River Pkwy, New York, USA",NA
674,Brookville Park,"Conduit Avenue, Brookville Boulevard, 144th Avenue, 233rd Street",Yes,Not Available,NA,NA,NA,NA,,NA,NA,NA
675,Brower Park,"Brooklyn, St. Mark's, Kingston avenues, Park Place",Yes,Not Available,40.6735874,-73.9431462,40.6781784,-73.9441579,1,4.64E-06,"Brower Park, Brooklyn, NY 11213, USA","Brooklyn, NY, USA"
676,Brower Park (Museum),"Brooklyn, St. Mark's, Kingston avenues, Park Place",Yes,Not Available,NA,NA,40.6781784,-73.9441579,,NA,NA,"Brooklyn, NY, USA"
677,Brownsville Playground,Linden Boulevard & Hegeman Avenue,Yes,Not Available,25.8159583,-80.2299094,40.692642,-73.769417,2,96.11070198,"Playground, NW 21st Ave, Miami, FL 33142, USA","Linden Blvd, Elmont, NY 11003, USA"
678,Bufano Playground,"La Salle Avenue, Edison Avenue, Bradford Avenue, Waterbury Avenue",Yes,Not Available,NA,NA,NA,NA,,NA,NA,NA
679,Bushwick Playground & Pool,"Flushing Avenue, Bushwick Avenue & Humboldt Street",No,Not Available,40.7018076,-73.9394723,40.7018957,-73.9369936,1,2.18E-07,"Bushwick Playground, 817 Flushing Ave, Brooklyn, NY 11206, USA","Flushing Ave, Brooklyn, NY 11206, USA"
680,Bushwick Playground & Pool,Flushing & Bushwick Avenue between Garden & Beaver,Yes,Not Available,NA,NA,NA,NA,,NA,"Bushwick Playground, 817 Flushing Ave, Brooklyn, NY 11206, USA","Flushing, Queens, NY, USA"
681,Cabbell Park/Cambria Playground,121 Avenue & 220 Street,Yes,Not Available,NA,NA,NA,NA,,NA,NA,"121st Ave, Marietta, MN 56257, USA"
682,Cadman Plaza & Brooklyn War Memorial,"Tillary, Cadman Plaza West, Cadman Plaza East, Prospect streets",Yes,Not Available,NA,NA,NA,NA,,NA,"Cadman Plaza W, Brooklyn, NY 11201, USA",NA
683,Cadman Plaza & Brooklyn War Memorial,"Tillary, Cadman Plaza West, Cadman Plaza East, Prospect streets",Yes,Not Available,NA,NA,NA,NA,,NA,NA,NA
684,Campiz Playground,Hope Street & Metropolitan Avenue,Yes,Not Available,40.713785,-73.9541673,41.6957277,-71.2795162,1,2.626354123,"Jaime Campiz Playground, Marcy Ave, Brooklyn, NY 11211, USA","Hope St, Bristol, RI, USA"
685,Canarsie Park,"Paerdegat Avenue, Seaview Avenue, East 93rd Street, Skidmore Avenue",Yes,Not Available,40.6303632,-73.8926247,NA,NA,1,NA,"Canarsie Park, Brooklyn, NY 11236, USA",NA
686,Capt. Rivera Playground,"East 156 Street, Forest Avenue",Yes,Yes,40.8178344,-73.906772,39.7189646,-104.9269401,1,34.08712592,"Captain Rivera Playground, 720 E 156th St, Bronx, NY 10455, USA","156 Forest St, Denver, CO 80220, USA"
687,Capt. Tilly Park,"Highland Avenue, Upland Parkway, Gothic Parkway, 85 Avenue",Yes,Not Available,40.7124413,-73.7988958,40.3200915,-98.8997422,1,9.848312065,"Captain Tilly Park, Jamaica, NY 11432, USA","N Highland Ave, Upland, NE 68981, USA"
688,Captain Mario Fajardo Park,Kissena Boulevard & Booth Memorial Avenue,Yes,Not Available,NA,NA,40.7413696,-73.8148124,,NA,NA,"Kissena Blvd, New York, USA"
689,Carl Schurz Park,East 84 Street & East End Avenue,Yes,Yes,NA,NA,NA,NA,,NA,"Carl Schurz Park, East 86th Street & East End Ave, New York, NY 10028, USA","E 84th St, Missouri, USA"
690,Carl Schurz Promenade,"Stone Wall to East River, East 84 to East 90 streets",Yes,Not Available,NA,NA,NA,NA,,NA,"Carl-Schurz-StraÌÙe, 76437 Rastatt, Germany",NA
691,Carmansville Playground,"Amsterdam Avenue, West 151 to West 152 streets",Yes,Not Available,NA,NA,NA,NA,,NA,"Carmansville Playground, Amsterdam Ave, New York, NY 10031, USA","Amsterdam Bridge, Toronto, ON, Canada"
692,Carroll Park,Court & Smith Streets,Yes,Yes,NA,NA,NA,NA,,NA,"Carroll Park, Selmer, TN 38375, USA",NA
693,Carver Playground,Ralph Avenue & Sumpter Street,No,Not Available,40.6802881,-73.9207346,40.634696,-73.9188247,1,8.71E-05,"Carver Playground, Marion St, Brooklyn, NY 11233, USA","Ralph Ave, Brooklyn, NY, USA"
694,Caserta Playground,"St. Raymond Avenue, Puroy Street",Yes,Not Available,40.8373952,-73.8538521,NA,NA,1,NA,"Caserta Playground, St Raymonds Ave, Bronx, NY 10462, USA",NA
695,Castle Hill Playground,"Parker Street, Castle Hill Avenue, Puroy Street",Yes,Not Available,40.8234124,-73.8509116,NA,NA,,NA,"Police Officer Hilario Serrano Playground, Turnbull Ave, Bronx, NY 10473, USA",NA
696,Castlewood Playground (PS 186),Little Neck Parkway & 72 Avenue,Yes,Not Available,39.584733,-104.900513,40.7536177,-73.7227354,,36.44322722,"Castlewood, CO 80112, USA","Little Neck Pkwy, Floral Park, NY, USA"
697,Cauldwell Playground,"Caldwell Avenue, East 163 Street, East 161 Street",Yes,Not Available,40.8075276,-74.4800383,38.7523158,-90.3172635,,32.54885211,"Speedwell Park-Pocahontas L, Morristown, NJ 07960, USA","163 Caldwell Ct, Ferguson, MO 63135, USA"
698,Cavanaugh Triangle (Angelo Campanero Playground),"East Gun Hill Road, Eastchest Road, & O'Neil Place",Yes,Yes,NA,NA,NA,NA,,NA,NA,"E Gun Hill Rd/Eastchester Rd, Bronx, NY 10469, USA"
699,Cedar Playground,"West 179 Street, West Burnside Avenue, Major Deegan Expressway, Sedgewick Avenue",Yes,Not Available,NA,NA,NA,NA,,NA,"Cedar Playground, Cedar Ave, Bronx, NY 10453, USA",NA
700,Central Park (Ancient Playground),85 ST & 5TH AVE,,Yes,NA,NA,NA,NA,,NA,"Ancient playground, New York, NY 10028, USA","85th St, Vero Beach, FL 32967, USA"
701,Central Park (Arsenal),5th Avenue from 60th Street to 65th Street,Yes,Not Available,NA,NA,NA,NA,,NA,"Central Park Blvd, Denver, CO, USA",NA
702,Central Park (Bethesda Terrace),,,Not Available,34.0560265,-84.6428065,NA,NA,,NA,"Bethesda Terrace, Acworth, GA 30101, USA",NA
703,Central Park (Conservatory Garden),"5th Avenue, 103rd Street to 106th Street",Yes,Not Available,40.7937661,-73.9524574,NA,NA,,NA,"Conservatory Garden, E 104th Street, New York, NY 10029, USA",NA
704,Central Park (Dana Discovery Center),110th Street between Fifth Avenue and Malcolm X Boulevard,Yes,Yes,40.7828647,-73.9653551,NA,NA,,NA,"Central Park, New York, NY 10024, USA",NA
705,Central Park (Heckscher Playground),"62 ST, BET WEST & CENTER DRS",,Not Available,40.7684844,-73.9772017,29.8342058,31.3504823,,1151.682241,"Heckscher Playground, 65th St Transverse, New York, NY 10019, USA","Street 62, Cairo Governorate, Egypt"
706,Central Park (Kerbs Boathouse),74th Street near Fifth Avenue,Yes,Not Available,40.7739739,-73.9665564,33.503068,-111.921811,,275.9690846,"Kerbs Boathouse, New York, NY 10021, USA","N 74th St, Scottsdale, AZ, USA"
707,Central Park (Lasker),Central Park at 107th Street,Yes,Yes,32.048304,34.778301,40.7987267,-73.9595458,,951.502123,"Lasker St, Tel Aviv-Yafo, Israel","Central Park West & W 107th St, New York, NY 10025, USA"
708,Central Park (Loeb Boathouse),East Side between 74th and 75th streets,Yes,Not Available,40.7828647,-73.9653551,NA,NA,,NA,"Central Park, New York, NY 10024, USA",NA
709,Central Park (North Meadow Recreation Center),Mid-park at 97th Street,Yes,Yes,40.7917758,-73.9587593,NA,NA,,NA,"North Meadow, New York, NY 10029, USA",NA
710,Central Park (Ramble),Central Park,,Not Available,40.9726231,-73.8345622,40.7828647,-73.9653551,,0.024819051,"Central Park Ave, New York, USA","Central Park, New York, NY 10024, USA"
711,"Central Park (Sheep Meadow, Mineral Springs)",Mid-park at 69th Street,No,Yes,40.7828647,-73.9653551,NA,NA,,NA,"Central Park, New York, NY 10024, USA",NA
712,Central Park (Tavern on The Green),Central Park,,Not Available,40.7828647,-73.9653551,40.7828647,-73.9653551,,0,"Central Park, New York, NY 10024, USA","Central Park, New York, NY 10024, USA"
713,Central Park (Tennis Courts),93d Street near the West Drive,Yes,Not Available,41.883692,-87.619099,48.7632453,-101.4482345,,95.13827477,"Chi-slam Table Tennis Club, 339 E Randolph St, Chicago, IL 60601, USA","93rd St NW, North Dakota, USA"
714,Central Park (The Great Hill),West Side from 103rd to 107th streets,No,Not Available,40.7968924,-73.9589429,41.8810644,-87.663045,,14.85760378,"Great Hill, New York, NY 10025, USA","Near West Side, Chicago, IL, USA"
715,Central Park (The Metropolitan Museum of Art),Fifth Avenue at 82nd Street,Yes,Not Available,40.7791865,-73.9635348,40.7789422,-73.9623032,,3.01E-07,"Metropolitan Museum of Art, New York, NY 10028, USA","5th Ave & E 82nd St, New York, NY 10028, USA"
716,Central Park (West 61st),"West Drive, Central Park West, & 65th Street Transverse",No,Not Available,NA,NA,NA,NA,,NA,"W 61st St, New York, NY, USA","S Central Ave, Los Angeles, CA, USA"
717,Central Park (Wollman Rink),Center Drive to East Drive (including Gapstow Bridge),Yes,Yes,NA,NA,NA,NA,,NA,"Central Park, New York, NY 10024, USA",NA
718,Central Park Delacorte Comfort Station,Mid-Park at 80th Street,Yes,Yes,NA,NA,NA,NA,,NA,"Central Park, New York, NY 10024, USA","E 80th Ave & Parkridge Cir, Anchorage, AK 99507, USA"
719,Century Playground,Brighton Beach Avenue & West 2 Street,Yes,Not Available,NA,NA,NA,NA,,NA,NA,"Brighton Beach Ave, Brooklyn, NY 11235, USA"
720,Challenge Playground (PS 187) 251 Street Playground,251 Street & 63 Avenue,No,Not Available,NA,NA,43.7457298,-97.6172678,,NA,NA,"251st St, South Dakota, USA"
721,Chelsea Park,West 27 Street & 9 Avenue,Yes,Not Available,43.074086,-77.5420829,36.8756394,-76.2967379,,7.719204481,"Chelsea Park, Pittsford, NY 14534, USA","W 27th St, Norfolk, VA, USA"
722,Chelsea Recreation Center,"South of West 25 Street, 9 to 10 avenues",Yes,Yes,40.74838,-74.002,43.6692624,-79.3946224,,15.75121586,"Chelsea Recreation Center, New York, NY 10001, USA","10 Avenue Rd, Toronto, ON M5R 2E8, Canada"
723,Cherry Tree (Washington) Playground,"99 to 100 streets, 3 Avenue",Yes,Not Available,45.5156072,-122.5550557,43.6017807,-79.5007702,,82.39843253,"Playground, 10525 SE Cherry Blossom Dr, Portland, OR 97216, USA","100 3rd St, Etobicoke, ON M8V 1H5, Canada"
724,Chester Playground,"Chester Street, Sutter Avenue",Yes,Not Available,40.6687403,-73.9118244,36.2198886,-115.1881888,1,183.6324239,"Chester Playground, Chester St, Brooklyn, NY 11212, USA","Sutter Creek Ave, North Las Vegas, NV 89032, USA"
725,Ciccarone Park Playground,"Arthur Avenue, East 188 Street",Yes,Not Available,NA,NA,NA,NA,,NA,NA,"188 Arthur Ave SE, Minneapolis, MN 55414, USA"
726,City Line Park,Atlantic & Fountain avenues,Yes,Not Available,NA,NA,NA,NA,,NA,NA,NA
727,Claremont Park,Mount Eden Parkway & Morris Avenue,Yes,Not Available,42.341862,-71.0808027,40.8427457,-73.908643,2,4.239261488,NA,NA
728,Claremont Park Playground,E 170 Street & Teller Avenue,Yes,Not Available,37.8608563,-122.2568367,40.471443,-93.8654043,,74.11829582,NA,"E 170th St, Missouri, USA"
729,Clark Playground,"3 Avenue, East 144 Street, East 146 Street",Yes,Yes,40.8137639,-73.9214695,39.9610321,32.9093759,1,91.09805909,"Clark Playground, Bronx, NY 10454, USA","Hac€±lar, 883/3. Sk., 06360 Alt€±nda€Ù/Ankara, Turkey"
730,Clement Clark Moore Park,Broadway & 83 Street,Yes,Not Available,40.7466119,-74.0043308,41.1115472,-73.8583806,1,0.05326238,"Clement Clarke Moore Park, 195 10 Avenue, New York, NY 10011, USA","Broadway, New York, USA"
731,Clintonville Playground (JHS 194),"Clintonville Street, 17 Road & 17 Avenue",Yes,Not Available,40.0521783,-83.0092803,44.629904,-88.756209,,26.30786321,"Clintonville, Columbus, OH, USA","17th St, Clintonville, WI 54929, USA"
732,Col. Charles Young Playground,West 144 Street & Lenox Avenue,Yes,Not Available,40.8195904,-73.9361885,41.628064,-87.6560306,1,11.09213013,"Colonel Charles Young Playground, New York, NY 10037, USA","W 144th St, Riverdale, IL 60827, USA"
733,Col. David Marcus Memorial Playground,"Ocean Parkway, Avenue P, East 3 Street",Yes,Not Available,NA,NA,37.6857796,-122.4842166,,NA,NA,"3 Ocean Grove Ave, Daly City, CA 94015, USA"
734,Coleman Square Playground,Between Cherry & Monroe streets,Yes,Not Available,40.7112051,-73.9936545,39.099582,-94.575511,1,33.17019538,"Coleman Square Playground, Monroe St, New York, NY 10002, USA","On 12th Between Cherry and Holmes Eastbound, Kansas City, MO 64106, USA"
735,College Point Park,130th Street & 23rd Avenue,Yes,Not Available,40.8290126,-77.8428055,42.6839286,-95.15155,,32.10626711,"Park Ave, College Township, PA, USA",NA
736,Colucci Playground,"Hutchinson River Parkway, Wilkinson Avenue, Mayflower Avenue",Yes,Not Available,40.8528355,-73.8347386,NA,NA,,NA,NA,NA
737,Columbus Park,"Adams, Johnson, Fulton, Joralemon streets",Yes,Not Available,41.389954,-71.8303537,NA,NA,,NA,NA,NA
738,Columbus Park,"Baxter, Mulberry, Bayard & Worth streets",Yes,Yes,41.389954,-71.8303537,NA,NA,,NA,"Columbus Park, Westerly, RI 02891, USA",NA
740,Com. John Barry Park & Playground,South of Flushing Avenue,No,Not Available,NA,NA,40.7018957,-73.9369936,,NA,NA,"Flushing Ave, New York, USA"
741,Com. John Barry Park & Playground (Athletic Area),South of Flushing Avenue,No,Not Available,NA,NA,40.7018957,-73.9369936,,NA,NA,"Flushing Ave, New York, USA"
742,Comm. Eugene S. Sarsfield Playground,"East 38 Street & Ryder Street, Avenue M",Yes,Not Available,40.6202258,-73.9376354,39.8256472,-86.0553456,,9.628473206,"Commander Eugene S Sarsfield Playground, Brooklyn, NY 11234, USA","E 38th St, Indianapolis, IN, USA"
743,Coney Island,Brighton 2nd,,Yes,40.5749261,-73.9859414,39.985252,-104.8202615,,18.18219995,"Coney Island, Brooklyn, NY, USA","2nd Pl, Brighton, CO 80601, USA"
744,Coney Island,W 27 ST.,,Yes,NA,NA,NA,NA,,NA,"Coney Island, Brooklyn, NY, USA","W 27th St, Norfolk, VA, USA"
745,Coney Island,W 33 St.,,Yes,NA,NA,NA,NA,,NA,"Coney Island, Brooklyn, NY, USA","W 33rd St, Ada, OK 74820, USA"
746,Coney Island Beach,Corbin Place to Coney Island Avenue,Yes,Not Available,NA,NA,NA,NA,,NA,NA,NA
747,Coney Island Beach,Stillwell Avenue,Yes,Yes,40.5721302,-73.9793298,40.5905519,-73.9840847,,8.76E-05,"Coney Island Beach, Brooklyn, NY, USA","Stillwell Ave, Brooklyn, NY, USA"
748,Coney Island Beach,West 16th Street,No,Yes,40.5721302,-73.9793298,32.6984846,-114.6504068,,320.2296465,"Coney Island Beach, Brooklyn, NY, USA","W 16th St, Yuma, AZ 85364, USA"
749,Coney Island Beach,W 22 ST.,No,Yes,40.5721302,-73.9793298,41.8463279,-87.9728762,,17.83054464,"Coney Island Beach, Brooklyn, NY, USA","22nd St, York Township, IL, USA"
750,Conference House Park,"Pittsville St,Hylan Blvd.,Surf,Richard Aves",,Yes,18.5227668,73.8531295,44.4391283,-90.124576,,4249.705494,"Congress House Rd, Shivajinagar, Pune, Maharashtra, India","Pittsville, WI 54466, USA"
751,Cooper Park,"Sharon, Olive streets, Maspeth & Morgan avenues",Yes,Not Available,40.700424,-89.5385254,40.7153476,-73.9387012,,0.232805536,"Cooper Park Rd, East Peoria, IL 61611, USA","Olive St & Sharon St, Brooklyn, NY 11211, USA"
752,Corona Golf Playground,109 Street between 46-47 avenues,Yes,Not Available,40.7474938,-73.8549547,33.8631902,-84.4649469,1,73.0424075,"Corona Golf Playground, 46th Ave, Corona, NY 11368, USA","Between the Paces SE, Atlanta, GA 30339, USA"
753,Corporal John A. Seravalli Playground,Hudson & Horatio streets,Yes,Not Available,40.7392063,-74.0048564,42.2528649,-73.790959,,0.323767639,"Corporal John A. Seravalli Playground, Horatio St, New York, NY 10014, USA","Hudson, NY, USA"
